time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,tp_p,date_utc,vwap
2026-04-11 15:30:00,72652.86,72693.78,72609.73,72635.21,5.29349,35.41086406693461,-55.419225845107576,-21.038387376628002,-34.380838468479574,24.52938719823746,27.907050376407284,72751.87970282814,72823.45510029091,72850.0488679789,72646.24,2026-04-11,72887.52571593845
2026-04-11 15:35:00,72635.22,72675.58,72628.62,72671.04,2.82133,38.60017353283342,-59.95906303245283,-28.822522507792968,-31.136540524659864,24.290786238202475,27.40527284400117,72735.71176226251,72809.59918208265,72843.02891237188,72658.41333333333,2026-04-11,72886.9643871376
2026-04-11 15:40:00,72671.03,72752.67,72664.59,72703.66,6.92458,41.43544013941944,-60.23045612189162,-35.1041092306127,-25.12634689127892,29.54709454200169,26.12242265948058,72729.30140981001,72799.96834734785,72837.56346482788,72706.97333333334,2026-04-11,72885.88852768794
2026-04-11 15:45:00,72703.66,72738.5,72672.19,72732.07,4.76685,43.86663515012684,-57.49037428459269,-39.5813622414087,-17.909012043183992,38.156109127308355,30.664663302504213,72729.85512784802,72793.79577031622,72833.42646620718,72714.25333333334,2026-04-11,72885.18518711519
2026-04-11 15:50:00,72732.06,72743.02,72686.55,72701.73,4.48678,41.867724877600125,-57.108710460102884,-43.08683188514754,-14.021878574955345,41.80179898398605,36.50166755109874,72724.23010227842,72785.42615483294,72828.26189890494,72710.43333333333,2026-04-11,72884.51373893087
2026-04-11 15:55:00,72701.73,72730.97,72690.3,72690.3,3.37584,41.10775208717043,-57.07066945276165,-45.88359939867036,-11.187070054091286,43.23246431701839,41.063457476104304,72717.44408182274,72776.7783225754,72822.85162835965,72703.85666666667,2026-04-11,72883.99297720783
2026-04-11 16:00:00,72690.3,72731.99,72650.51,72704.04,3.64532,42.45987042525688,-55.2944188692054,-47.76576329277737,-7.528655576428029,43.75845349925746,42.930905600087335,72714.7632654582,72770.1657477958,72818.19234881614,72695.51333333332,2026-04-11,72883.40811627476
2026-04-11 16:05:00,72704.04,72756.08,72678.45,72756.08,3.35188,47.38690552056412,-49.12129469268257,-48.03686957275841,-1.0844251199241555,63.47691240848465,50.15594340825354,72723.02661236656,72768.88522526891,72815.7565704312,72730.20333333332,2026-04-11,72882.97222728579
2026-04-11 16:10:00,72756.07,72769.6,72733.21,72739.31,0.89201,46.01937815972182,-45.06279233566602,-47.442054125339936,2.3792617896739188,80.0701387337046,62.435168213815615,72726.28328989325,72766.19656842628,72812.75866570842,72747.37333333334,2026-04-11,72882.8696355734
2026-04-11 16:15:00,72739.3,72778.4,72738.11,72757.82,3.65828,47.8096776733422,-39.89293673020438,-45.932230646312824,6.039293916108441,97.54639288850602,80.36448134356515,72732.5906319146,72765.43506220571,72810.60420822966,72758.11,2026-04-11,72882.48372029155
2026-04-11 16:20:00,72757.81,72801.16,72752.33,72774.84,2.98748,49.469195209766944,-34.03013889992144,-43.55181229703455,9.521673397113112,97.54639288844832,91.72097483688636,72741.04050553168,72766.29005655064,72809.20169025987,72776.11,2026-04-11,72882.2156895457
2026-04-11 16:25:00,72774.83,72774.83,72736.22,72743.7,3.33315,46.552578598956046,-31.53307348987437,-41.148064535602515,9.614991045728146,93.08448828567357,96.05909135420934,72741.57240442534,72764.23641504603,72806.63299652419,72751.58333333333,2026-04-11,72881.84947829768
2026-04-11 16:30:00,72743.7,72746.88,72700.01,72736.01,2.41981,45.83391789715408,-29.830779239957337,-38.88460747647348,9.05382823651614,84.46497938456082,91.69862018622761,72740.45992354029,72761.67037731457,72803.86346724874,72727.63333333335,2026-04-11,72881.53625490305
2026-04-11 16:35:00,72736.01,72752.79,72661.03,72661.03,2.79049,39.440585452644626,-34.138431559942546,-37.93537229316729,3.7969407332247442,60.68641075466081,79.4119594749651,72724.57393883224,72752.52125210415,72798.26215480761,72691.61666666667,2026-04-11,72881.09246512105
