time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,atr,roc5,vol_ma,vol_ratio,tp_p,date_utc,vwap
2026-02-20 09:00:00,67808.96,68299.15,67266.66,67310.43,825.30114,48.178653908608716,-290.24591219087597,-389.714970170792,99.46905797991604,91.34632622913693,89.26480338594065,67207.55403390089,67404.0628182866,68141.36831772658,926.5754709191085,1.3955621836587024,905.314594,0.9116180667688527,67625.41333333333,2026-02-20,67524.88560584467
2026-02-20 13:00:00,67310.44,68064.83,66428.57,67575.05,2320.61769,50.296962849545224,-240.77857377540204,-359.927690891714,119.14911711631197,87.41539593962295,90.17510987766828,67281.05322712072,67419.60710753327,68119.15975624711,1021.2000747965601,0.8108723792735808,999.3401379999999,2.322149988535503,67356.15000000001,2026-02-20,67434.58475332729
2026-02-20 17:00:00,67569.01,67992.8,66942.81,67629.6,1438.27166,50.74395196386338,-194.92662973163533,-326.9274786596983,132.00084892806296,84.48102233009512,87.7475814996183,67350.76258169657,67438.69737048479,68099.96133443351,1025.0387314903528,0.9780279291080163,1040.573671,1.3821910933203514,67521.73666666666,2026-02-20,67456.29169817467
2026-02-20 21:00:00,67629.6,68215.91,67507.1,67991.19,456.90596,53.7153275684394,-127.93656952946912,-287.12929683365246,159.19272730418334,93.13469610023965,88.34370478998589,67478.84806535726,67488.92397316798,68095.6957919067,982.8749006249722,0.9698369957462535,981.0937074999999,0.4657108250793194,67904.73333333334,2026-02-20,67489.1724919758
2026-02-21 01:00:00,67991.19,68080.06,67515.31,67647.61,307.49886,50.59228142660916,-101.40160419124004,-249.98375830516997,148.58215411392993,89.77996382911698,89.13189408648388,67512.60045228581,67503.34997560726,68078.12380006723,927.1249138749758,-0.23794790540955915,919.551966,0.3344007422849298,67747.65999999999,2026-02-21,67747.65999999999
2026-02-21 05:00:00,67647.62,67906.85,67571.15,67835.16,165.59893,52.22515781795975,-64.49527403517277,-212.88606145117055,148.39078741599778,88.95149102844789,90.62205031926815,67577.11236182865,67533.51452327933,68068.59580790774,848.2682586916474,0.7795671488059288,906.1733105000001,0.18274531823124324,67771.05333333333,2026-02-21,67755.8483937127
2026-02-21 09:00:00,67835.16,68287.85,67790.25,68073.0,450.03899,54.288341975926514,-15.872077770050964,-173.48326471494664,157.61118694489568,88.95149102840658,89.22764862865712,67676.28988946293,67582.55865752666,68068.76852132312,801.5124908660953,0.7368843974218252,901.7920885,0.4990496099256365,68050.36666666667,2026-02-21,67899.429181488
2026-02-21 13:00:00,68073.0,68680.54,67900.29,68586.77,491.5718,58.46144098378733,63.38839882249886,-126.10893200745755,189.4973308299564,96.23715358915234,91.38004521533558,67858.38591157035,67673.85059775152,68089.08230480064,798.6774920839492,1.4153122301477432,892.832513,0.5505756038702243,68389.2,2026-02-21,68069.61088975432
2026-02-21 17:00:00,68586.78,68645.5,68080.83,68527.99,387.46702,57.81117796341104,120.07568505514064,-76.87200859493792,196.94769365007858,98.79224263850124,94.66029575202003,67992.30672925629,67751.49963431955,68106.29437127906,767.4764931394225,0.7895140532177815,868.0199425000001,0.4463803203461023,68418.10666666667,2026-02-21,68144.53733985318
2026-02-21 21:00:00,68524.98,68585.99,67868.22,67961.0,333.89166,51.82327322957149,117.89044566414668,-37.919517743121006,155.80996340726767,81.79732749568157,92.27557457444503,67986.04538340504,67770.54512210868,68100.59655279753,760.8489607208335,0.46326839928269364,807.727532,0.41337164671509385,68138.40333333334,2026-02-21,68143.57852471768
2026-02-22 01:00:00,67961.0,68210.42,67782.37,68021.0,317.84849,52.38530978199885,119.6212074442592,-6.411372705644965,126.03258014990416,66.24132800985448,82.27696604801241,67993.03630672404,67793.31374737153,68097.4751193545,716.4757659580561,0.27395822461389713,729.2328405000001,0.4358669444755435,68004.59666666666,2026-02-22,68004.59666666666
2026-02-22 05:00:00,68021.0,68165.68,67856.69,67996.35,217.33164,52.11631039523122,117.64763097632385,18.4004280307488,99.24720294557505,46.8803085007234,64.97298800208647,67993.69904537924,67811.77158851956,68093.50942839941,662.1443304969807,-0.11259970913577216,699.223056,0.3108187553815,68006.24,2026-02-22,68005.26400894711
2026-02-22 09:00:00,67996.35,68232.24,67898.73,68199.25,207.62637,54.2010283505738,130.94642284928705,40.909626994456445,90.0367958548306,50.0644004297941,54.39534564679064,68034.8092363034,67846.99689865415,68097.65611748179,618.3264197640513,-0.5650069248048917,688.7863030000001,0.30143800638261214,68110.07333333333,2026-02-22,68034.55990170581
2026-02-22 13:00:00,68199.25,68215.4,67286.92,67667.99,968.11478,48.27465955468133,97.49372220446821,52.2264460364588,45.26727616800941,32.59828456053656,43.18099783035134,67961.44538904272,67830.72354423105,68080.80646581584,659.6802304621772,-1.254961658732439,713.126,1.3575648342647222,67723.43666666666,2026-02-22,67858.51264239367
2026-02-22 17:00:00,67668.0,67708.8,67168.01,67401.47,465.68137,45.58199738125672,48.91244708724844,51.563646246616734,-2.6511991593682964,19.833728097405317,34.1654710292453,67849.45031123419,67791.7004947555,68054.16582009757,643.828199733888,-0.8233104280396093,705.844164,0.659750967353658,67426.09333333334,2026-02-22,67765.99708092559
2026-02-22 21:00:00,67401.47,67726.01,67322.56,67616.63,398.97296,48.0988403823233,27.456548381887842,46.742226673670956,-19.285678291783114,6.825068210310888,19.752360289417563,67802.88624898736,67775.78499523227,68037.00755264275,611.7777731027026,-0.5944781758574489,647.1394185,0.6165177836403707,67555.06666666667,2026-02-22,67733.32262500818
